,input_testData,MR_Transformed,output_testInput,output_MR,MR_checker
4619,"[13, 4, 1, 6, -9, 12, 0, -1, 7, 17, -19, -13, 15, -4]","[0, -1, 13, 4, 12, -4, 1, -13, 15, 6, -9, 7, -19, 17]",13,39,Violated
4620,"[7, -1, 0, 19, -14, -13, 19, 15, 2, -2, 9]","[2, -14, 19, -2, 7, -13, 0, 15, -1, 19, 9]",-20,-60,Violated
4621,"[10, -12, -3, 0, -1, -5, -12, 3, -10, 6, 9, -1]","[-1, 9, -3, 0, -12, 3, -12, -1, 6, 10, -10, -5]",2,6,Not-violated
4622,"[18, 18, -5, -19, 14, 12, -18, 2, 3, -16, 10, -2, -20, 14]","[14, -19, 12, 10, 18, 2, 14, 3, -18, -16, -5, 18, -20, -2]",-2,-6,Not-violated
4623,"[-7, 9, 13, -1, 4, -7, 0, -5, -15, -20, -20, 1, -3]","[-20, 9, 0, -1, 13, 4, -7, 1, -20, -15, -5, -7, -3]",-49,-147,Violated
4624,"[-10, -8, 10]","[10, -10, -8]",-81,-243,Violated
4625,"[6, -20, -9, 12, -15, -11, 19, 10, -2, 12, 6, 10, 4, 18]","[12, -15, 4, -20, 19, 10, 6, 18, 12, -2, 6, -11, -9, 10]",71,213,Violated
4626,"[-17, -18, -8]","[-18, -17, -8]",-35,-105,Not-violated
4627,"[-10, -11, 16, 4, -13]","[-11, -10, 4, 16, -13]",15,45,Not-violated
4628,"[-20, -12, -3, -15, 16]","[16, -15, -20, -3, -12]",0,0,Not-violated
4629,"[-15, 2, 3, 1]","[1, -15, 2, 3]",-7,-21,Not-violated
4630,"[-4, 8, 11, -20, 17, -4, -19, 9, -19, -19, -6, -10]","[-19, -19, 9, -19, 11, -4, -6, 17, 8, -20, -10, -4]",-17,-51,Violated
4631,"[-12, -12, 10, -2, 12, -20]","[-2, -12, 10, 12, -20, -12]",-87,-261,Violated
4632,"[-3, -6, 6, 17, 9, 7, -6, 6, -5, 14, -6]","[-5, 6, -6, 14, 7, 6, -6, 9, 17, -3, -6]",-57,-171,Not-violated
4633,"[-1, 10, -7, 19, -4, -17]","[19, -17, -1, 10, -4, -7]",32,96,Not-violated
4634,"[-2, -3, -5, -3, 4]","[-3, -5, -3, 4, -2]",-7,-21,Violated
4635,"[19, -5, 13, -2, 2, 17, 5, -16]","[2, -16, 5, 17, -5, -2, 19, 13]",57,171,Not-violated
4636,"[-20, 4, -7, 5, -12, -19, 10, 6, -17, 0, 5]","[5, 6, -20, 10, -17, -12, -19, 5, 0, -7, 4]",14,42,Violated
4637,"[-4, 8, -10, -20, 17, 9, -4, 15, 18, -11, 2]","[-20, 17, -4, 2, 8, 9, 15, -4, -11, 18, -10]",7,21,Not-violated
4638,"[16, 2, -5, 15, -13]","[-13, 2, 16, 15, -5]",15,45,Not-violated
4639,"[19, 12, -14, 1, -18, -17, 4, 17]","[4, -17, 19, 1, 17, -18, 12, -14]",12,36,Violated
4640,"[-6, 19, -12, -3, -8, 17, 1, -7, 2, -7, -5, 1, -13, 8]","[-12, -7, -5, -8, -3, 8, 1, -6, 19, 1, 2, 17, -13, -7]",-53,-159,Violated
4641,"[3, 13, 3, -13, -4, 13, 13]","[13, 13, -4, 13, -13, 3, 3]",-50,-150,Not-violated
4642,"[5, 11, 13, 8, -10, 7, 18, 8, -5, 7, 15]","[11, 7, -5, 8, 13, 8, 15, 18, 7, -10, 5]",-9,-27,Not-violated
4643,"[-4, 8, 1, 15, -12, 17, -19, 13]","[-12, 8, -4, 15, 17, -19, 1, 13]",0,0,Violated
4644,"[-10, 8, -16, -14, -20, -11, 16, 13, -7, -18]","[-16, 8, 13, -18, -11, -14, -20, -10, -7, 16]",-5,-15,Violated
4645,"[3, 0, -2, 14, 2, 13, -15, 10, 8, 7]","[8, 14, 2, 0, 7, -2, 10, 3, 13, -15]",40,120,Not-violated
4646,"[18, 4, -6, 19, -18, -1, 1, 13]","[-1, 18, -18, 13, 4, 19, 1, -6]",3,9,Violated
4647,"[12, -2, 19, 2, -18, 17, -14]","[-18, 2, -14, -2, 17, 19, 12]",9,27,Violated
4648,"[8, 16, -14, -9, -10, -14, 15, -9, -3, -4]","[-10, -14, -9, -3, -14, 8, -4, 15, 16, -9]",-21,-63,Not-violated
4649,"[-6, -13, 14, 0, 4, 13, -18, 3, -1, -10, 16]","[0, 4, 13, 14, 16, -1, 3, -6, -10, -18, -13]",9,27,Not-violated
4650,"[-18, 1, -4, 11, 13, 0]","[1, -4, 0, -18, 11, 13]",-21,-63,Violated
4651,"[-3, -16, -9, 12, -5, -9, 13, -9, -2, -16, -19, -5, 12]","[-9, -3, 13, -19, -5, -5, -9, 12, 12, -16, -16, -2, -9]",4,12,Not-violated
4652,"[13, -15, -3, 6, -16]","[-3, 13, -15, -16, 6]",-13,-39,Violated
4653,"[8, 2, 1, 9, -11, -7, 12, 6]","[-7, 8, -11, 9, 2, 6, 12, 1]",34,102,Not-violated
4654,"[3, 17, -4, -20, 7, -8, 11, -14, -9, -10, 6]","[11, -9, -14, -8, 3, -4, 17, -20, -10, 6, 7]",3,9,Violated
4655,"[15, -5, -7, -20, 11, 10, -4, 8, -5, 2, 2]","[-4, -7, 10, 2, -5, 11, 8, 2, -5, 15, -20]",35,105,Not-violated
4656,"[17, -6, -19, -16, 13, -10, -8, -5, -11, -6]","[-19, -5, -8, -16, -11, -6, 17, 13, -10, -6]",7,21,Not-violated
4657,"[6, 11, -3, 13, 18, 18, 14, 8]","[6, 11, 18, -3, 14, 18, 8, 13]",-35,-105,Violated
4658,"[11, -12, 19, 14, -18, 0, -5, -20, 1, -10]","[-12, 11, 19, 0, -20, -10, 1, -5, 14, -18]",-26,-78,Violated
4659,"[-14, 9, 6, 14, 1, -1, -19, -3, 16, -6, -18, -3, -5]","[-1, -6, -18, 16, -14, -3, -19, -3, 1, 14, 6, -5, 9]",0,0,Violated
4660,"[9, -17, 7]","[9, 7, -17]",-52,-156,Violated
4661,"[-9, -1, 13, 7, -13, 0, -9, 11, -17, -7, 17]","[7, -1, -13, -9, 11, -7, 0, -9, -17, 13, 17]",46,138,Not-violated
4662,"[13, 9, 16, -2, 9, 19, 7, 2, 8]","[9, -2, 2, 19, 7, 8, 13, 9, 16]",32,96,Not-violated
4663,"[-20, 3, -19, 14, -2, 1, 18, 5, -4, 6, -14, -20]","[1, 3, -2, -14, -20, -20, 5, 14, 6, -19, -4, 18]",42,126,Not-violated
4664,"[7, -14, -15, 10, -10, -5, -14, 11, 17, -8, 11, 17, -11]","[-10, -14, -11, 7, -5, -15, 17, 10, 17, -8, 11, 11, -14]",-16,-48,Violated
4665,"[-8, -10, 19, -4, 6, 18, -10, -12]","[-10, -10, 18, 19, 6, -12, -4, -8]",-2,-6,Violated
4666,"[16, 8, -2, 15, 11, 13, 9, -20, 14, 19, -6, -14, -11]","[14, 13, 8, 16, 19, 9, -2, 11, -14, 15, -6, -20, -11]",-31,-93,Violated
4667,"[17, -7, -6, -11, 13, 14, 13, -3, 17]","[-3, -7, 17, 13, -11, 13, -6, 17, 14]",-35,-105,Violated
4668,"[11, -17, -15, 8]","[8, -17, 11, -15]",21,63,Violated
4669,"[-15, 19, -10, 18, 17, -9]","[17, 19, -9, -10, 18, -15]",-20,-60,Not-violated
4670,"[-20, -18, 7, -11, 5, -2, 13, 13]","[13, -20, -2, 13, -18, 5, 7, -11]",-40,-120,Not-violated
4671,"[13, 10, -17, 14, 13, 17, -7, 13, -19, 5, -12, -1]","[-7, 10, 13, -1, 13, -17, 13, 5, -12, 14, -19, 17]",-9,-27,Not-violated
4672,"[-10, -19, -19, -3, 19]","[-3, -19, 19, -19, -10]",19,57,Violated
4673,"[-5, 19, -3, -8, 0, -14, -11, 3]","[-8, -3, 19, -14, -11, 0, -5, 3]",-2,-6,Not-violated
4674,"[-12, 19, -18, 18, 2, 3, 9, 1]","[3, 1, 19, -12, -18, 9, 18, 2]",51,153,Not-violated
4675,"[-10, -19, 3, -11, 7, -17, 10, 8]","[-10, 3, 8, -11, 7, -19, 10, -17]",-25,-75,Not-violated
4676,"[11, 6, 15]","[11, 6, 15]",3,9,Violated
4677,"[19, -15, 1, 19, 6]","[-15, 19, 19, 1, 6]",-6,-18,Violated
4678,"[5, 10, -14, 17, 17, -19, -2, 8, 14, -8, 4]","[-14, 14, 10, 8, -19, 17, -2, 4, -8, 17, 5]",2,6,Not-violated
4679,"[6, -17, -13, -3, 17, -15]","[-17, 6, -3, 17, -13, -15]",-27,-81,Not-violated
4680,"[5, 0, -4, -12]","[0, 5, -4, -12]",-41,-123,Not-violated
4681,"[-12, -16, -2, 0, 6]","[0, -2, -12, 6, -16]",-32,-96,Violated
4682,"[-9, -1, 8, -17, -8, 6, -5, 8]","[8, -9, 8, -1, -8, -17, 6, -5]",9,27,Not-violated
4683,"[-13, 13, -12, 9, -16]","[-12, -16, 13, 9, -13]",-69,-207,Not-violated
4684,"[9, 0, 17, 1, -7, 17, 14, -4, -4, -3, -14]","[17, -4, 14, -3, -4, 9, -14, 0, -7, 17, 1]",-15,-45,Violated
4685,"[7, -15, 16, -7, 5, 6, 18, 6, -16, -4, 19, -15, -3]","[19, -3, 7, 16, 6, -15, -7, 5, -16, 18, -4, -15, 6]",37,111,Violated
4686,"[-4, -14, 10, -15, -19, -14, -19, 5, -7, -5, -17, 8, -12]","[-7, -15, 8, -14, 10, -14, -5, -19, 5, -17, -4, -12, -19]",-26,-78,Violated
4687,"[-8, -17, 15, -2, -4, 12, 6, -8, -4]","[-17, 6, -2, -8, 15, 12, -4, -8, -4]",-46,-138,Violated
4688,"[3, 6, 19, -19, -12, -6, 16, -12]","[16, -6, 3, 19, -19, -12, 6, -12]",52,156,Not-violated
4689,"[12, -16, -18, -18, -19, -5, 4, 16, 9, 0, -4, 13]","[-18, 9, -19, -16, -18, 13, -4, -5, 0, 16, 12, 4]",6,18,Not-violated
4690,"[4, -20, 8, 15, 10, -4, -14, 17]","[-14, -4, 4, 17, 8, 10, 15, -20]",22,66,Not-violated
4691,"[0, -6, 15, 3]","[-6, 3, 15, 0]",1,3,Not-violated
4692,"[-1, -10, 9, -9, -7, 18]","[9, 18, -7, -9, -10, -1]",-27,-81,Violated
4693,"[1, -2, -14, 19, -5, 0]","[-5, -2, 0, 19, -14, 1]",-14,-42,Not-violated
4694,"[10, -15, -7, 12, 14, 0, -6, 6, -4, -5, -20, -18]","[-6, 0, -20, -18, 6, 14, -15, -5, -7, -4, 10, 12]",8,24,Violated
4695,"[-15, 7, -13, -9, 3, -18, -13, 0, 13, -14, 1]","[1, 7, -13, -9, -15, 3, -18, -13, 13, 0, -14]",-32,-96,Violated
4696,"[-13, 8, -12, 12, -11, 0, -2]","[8, -2, -13, -11, -12, 12, 0]",27,81,Violated
4697,"[-1, 6, 1, -11, 15]","[6, 15, -11, -1, 1]",-52,-156,Violated
4698,"[-7, 19, 1, 5, 18, -17, -18, 14, -5, -6]","[5, -5, -7, -17, 19, 1, 18, -6, 14, -18]",57,171,Violated
4699,"[0, -15, 2, -3]","[-15, -3, 2, 0]",64,192,Not-violated
4700,"[-11, 18, -20, 13, -12, -11, -17, 17, 14, -7, 10, -15]","[17, 13, 14, -11, -17, 10, -11, -20, -12, 18, -7, -15]",22,66,Violated
4701,"[-5, 12, 9, -4, -19, -1, -20, 5, -13, 14]","[-1, 5, -4, 9, -19, 12, -20, -5, -13, 14]",-19,-57,Violated
4702,"[8, -17, 17, 17, 1, 11, 15, -3, 5]","[17, 17, 15, 1, -3, -17, 8, 11, 5]",29,87,Not-violated
4703,"[-15, 4, 19, -11, -6, -16, 18, 16, 13, 15, -2, 9, -18, -10]","[9, 15, 19, -2, 16, -15, -10, -18, 4, -16, 13, 18, -6, -11]",6,18,Not-violated
4704,"[3, -19, -5, 11, -9, -20, 13, -9]","[-9, 11, -19, 13, -9, -5, -20, 3]",35,105,Violated
4705,"[15, 8, -4, -15, 16, -1, 7, 5, -8, -4]","[15, 16, 5, -1, -15, -4, -8, 7, -4, 8]",-45,-135,Violated
4706,"[-15, 19, -2, 1]","[19, 1, -2, -15]",-23,-69,Not-violated
4707,"[-19, -8, 14]","[-8, -19, 14]",-18,-54,Violated
4708,"[0, -17, 16, -14, 10, -16, -13, -20, -6, 15]","[-13, 10, 15, -20, -6, -16, -14, 0, 16, -17]",-51,-153,Violated
4709,"[5, 0, -5]","[-5, 5, 0]",12,36,Not-violated
4710,"[10, -4, 7, 1, -3, 8]","[-4, 8, -3, 7, 10, 1]",-35,-105,Violated
4711,"[8, -7, -11, 17, -11, -5, 14, -9, -8, 7, 11]","[-5, 14, -7, -11, 7, -9, -8, 8, -11, 11, 17]",-49,-147,Not-violated
4712,"[-18, -12, -10, -2, -12]","[-2, -18, -12, -10, -12]",-8,-24,Not-violated
4713,"[-17, -6, 14, -3, 15, -6, 13, -20, 9, 15, 0, -16]","[0, 15, 15, 13, -6, 14, 9, -16, -20, -3, -6, -17]",48,144,Not-violated
4714,"[-16, 15, 14, -19, -9, 15, 2, 0, 1, -6, 2]","[15, -16, 2, 14, -19, -6, 2, 0, 15, 1, -9]",8,24,Not-violated
4715,"[-13, -7, -8, -2, -14, -2, 19, 6, 8, -8, 8, -19, -9]","[-8, -2, 8, 6, 19, -9, -13, -19, -8, 8, -7, -2, -14]",27,81,Not-violated
4716,"[12, 18, -2]","[18, 12, -2]",-22,-66,Not-violated
4717,"[-4, -7, -2, 16]","[-4, -7, 16, -2]",-2,-6,Not-violated
4718,"[19, 6, 19, 14, -1, 12, -1]","[19, 19, -1, 14, -1, 6, 12]",4,12,Not-violated
4719,"[-1, -10, -2, -11, 14, 11, 13, 8, 13, -5, 17]","[-1, 13, -11, -10, 8, 14, 13, -2, -5, 17, 11]",-71,-213,Violated
4720,"[-16, -20, 7, 11, 11, -14, 11, 17, 19]","[17, 7, 11, -20, 11, -14, 11, -16, 19]",-50,-150,Violated
4721,"[19, 4, -3, -10, 3, 7, -9]","[-3, 3, -10, -9, 19, 4, 7]",-18,-54,Violated
4722,"[-15, 12, -20, 0, 8, 4, -12, -9, 0, 13, 3, -1, -17]","[3, 4, -17, -12, -20, 0, 12, 13, -15, 8, -9, 0, -1]",4,12,Violated
4723,"[-8, -4, -16, 3, -7, 6, -17]","[-7, -17, -8, -16, -4, 6, 3]",-26,-78,Violated
4724,"[-11, -17, 10, 17]","[10, -11, -17, 17]",16,48,Not-violated
4725,"[15, -11, -3, 15, 10, -15, 12]","[15, -3, -11, 12, 15, -15, 10]",-17,-51,Violated
4726,"[12, 6, -5, 6, 19, 16, -20]","[16, 12, -20, 6, 6, -5, 19]",92,276,Not-violated
4727,"[10, -8, -4, -8, -18]","[-18, -8, -8, -4, 10]",-68,-204,Violated
4728,"[-20, -19, 0, 5, -10, 14, -9, 5, -16]","[0, -16, -19, -10, 5, -20, 14, 5, -9]",-58,-174,Violated
4729,"[-16, 9, -17, 7, 5, 3, -1, 16, 1, -13]","[1, 5, 3, -16, 16, 9, -1, -13, 7, -17]",-3,-9,Not-violated
4730,"[-16, 17, -11, -3, 5, -4]","[-3, -4, 5, -16, -11, 17]",-25,-75,Not-violated
4731,"[-3, 8, 19, 10, -1, 1, 19, -10, 9, -12]","[19, 19, 10, 9, -12, -1, -10, 1, 8, -3]",-22,-66,Not-violated
4732,"[12, -15, -3, -20, -5, 1, 0, 14, 19, -7, 18, 9, 16, -2]","[-3, 1, -5, 0, 16, 12, 9, -20, -7, 14, 18, -2, 19, -15]",-13,-39,Violated
4733,"[4, -3, 1, -19, 19, 18, -7, 8, 15, -20, 16, -19, 8, 10]","[10, -19, -20, -3, 1, 8, 19, -19, 4, 8, -7, 16, 15, 18]",-9,-27,Violated
4734,"[7, -2, -9, 7, -6, 6, -4, -9]","[6, -6, -4, -9, -9, 7, 7, -2]",26,78,Not-violated
4735,"[8, -13, -2, -17, -16, -10, 13, 0, 19, -11, -15, 7, -15, 19]","[7, 13, -13, -10, -17, 19, 8, -2, 0, -16, -15, -15, -11, 19]",-4,-12,Not-violated
4736,"[-1, 6, -17, -1, 13, 2, -19, -3, -15, -19, 13, 13]","[6, -1, -19, 2, -1, -3, 13, 13, -17, -19, -15, 13]",-61,-183,Violated
4737,"[19, 5, -18]","[-18, 5, 19]",-50,-150,Violated
4738,"[-19, -1, 3, -15, -16, 5, -4, -10, -9, -15, -15, -10, 8, 18]","[-15, -9, -10, -15, -16, 3, 8, -15, -1, -10, -19, -4, 5, 18]",-6,-18,Not-violated
4739,"[17, 14, -5, 13, -17, 18, 0, -5, -12, -8, -3, -19]","[-17, -8, -12, 18, -5, -5, 13, 17, -3, -19, 0, 14]",27,81,Not-violated
4740,"[-15, 15, -7, -19, 11, -2]","[-15, -19, -7, 15, 11, -2]",-2,-6,Violated
4741,"[18, 13, -3, -8, -12, -20, 18, 16, -16, -3]","[-20, -8, -12, 13, -3, -3, 18, 18, -16, 16]",7,21,Not-violated
4742,"[-9, -14, 5, -17, -13, -16, -10]","[-14, -10, -16, -13, -9, -17, 5]",3,9,Not-violated
4743,"[-10, 1, 1, -5, -14, -8]","[1, -8, -5, 1, -14, -10]",-22,-66,Not-violated
4744,"[0, -18, 12, -12, 8, 11, 10]","[10, 11, 0, 12, -12, -18, 8]",-18,-54,Violated
4745,"[-13, -19, 17, -9, 9, 11, 12, 1, 12]","[12, -9, -19, 1, 17, -13, 11, 9, 12]",23,69,Not-violated
4746,"[-16, 0, 6, -11, 13, 3, 19, 18, 4]","[6, -16, 4, 18, -11, 3, 13, 19, 0]",34,102,Not-violated
4747,"[-10, 3, 1, -15, 1, -18, 13, -5, 13, -18, 12, 2, -1, -17]","[-18, 3, 2, -5, 13, -18, 1, -10, 1, -1, -15, -17, 13, 12]",42,126,Not-violated
4748,"[18, -18, 13, 13, 15, 3, -5, -20, -12]","[18, 13, 3, -20, -5, -12, 13, 15, -18]",4,12,Not-violated
4749,"[-10, 8, -11, -6, -15, -2, 4]","[-11, -10, -2, 8, -15, -6, 4]",-22,-66,Not-violated
4750,"[-20, -17, -9, -13, -4]","[-4, -20, -9, -13, -17]",-69,-207,Violated
4751,"[17, 10, -15, 1, 4, -6, -13]","[4, -13, -6, 1, 10, 17, -15]",-33,-99,Violated
4752,"[-10, -2, 10, 17, -13, -5, -8, -2, -5]","[-8, -10, -5, 17, -2, -2, -5, -13, 10]",53,159,Not-violated
4753,"[-15, -12, 1, 0, 15, -11, -15, -1, 3, 19, -13]","[-13, -1, 3, -15, 1, -11, 19, 15, -15, 0, -12]",-25,-75,Violated
4754,"[-17, -6, 18, -1, -19, 11]","[-6, 18, -1, -17, -19, 11]",-63,-189,Violated
4755,"[15, 3, -11, -18, -12, -19, 0, 15]","[-18, 0, 15, -19, -11, 15, 3, -12]",-36,-108,Not-violated
4756,"[18, -10, 6, -13, 18, -10, 19, -16, 8, 12, 13, -4]","[6, 19, -10, 8, 13, -16, 12, 18, -10, -4, -13, 18]",-42,-126,Violated
4757,"[14, 15, -11, -14, -10, 14, 1, 10, -7, 0, 17, -6, 16]","[1, 0, -7, -14, -10, 17, 14, 15, -11, 16, 14, 10, -6]",-6,-18,Violated
4758,"[6, 9, 8, 2, -19, 5, 1, 18, 17]","[9, 5, 17, 1, 8, 2, 18, -19, 6]",23,69,Violated
4759,"[9, 13, -4, 16, 13, -5, 7, -3, 2]","[-4, -3, 16, 9, 2, 7, 13, -5, 13]",-4,-12,Not-violated
4760,"[0, -8, -1]","[-1, -8, 0]",-10,-30,Violated
4761,"[-5, -15, 2, -6, 17, -15, -6, -19, 10]","[-19, 17, -15, 10, 2, -6, -5, -15, -6]",-55,-165,Violated
4762,"[2, 0, -1, 2, -1, 5, 18, -2]","[0, -1, 2, 2, -2, 5, 18, -1]",-57,-171,Violated
4763,"[-4, 9, -19, -9, -18]","[-9, 9, -4, -18, -19]",30,90,Violated
4764,"[13, -18, -19, 14, 9, -14, 13, 17]","[17, -18, 13, -14, 9, 14, -19, 13]",-43,-129,Not-violated
4765,"[-18, 17, 19, 10, 10, 3, 16, -15, -10, 17, -9]","[10, -15, 17, -9, 17, -10, 10, -18, 16, 19, 3]",12,36,Violated
4766,"[1, 7, -7, 6, -4, 7, 7, -6, 18, 17, 17, 19]","[-6, 6, 17, 17, 19, 7, -4, 1, 18, 7, -7, 7]",-10,-30,Not-violated
4767,"[-17, -19, 0]","[-17, -19, 0]",19,57,Not-violated
4768,"[2, -12, 0, 13, 12, 2, -9, 18, 10]","[-9, 13, 18, 2, 12, -12, 10, 2, 0]",-84,-252,Violated
4769,"[-17, -3, -6, -8, 5, 8, -9, -2, -4, -7, -1]","[-9, 5, -6, -17, -4, -7, -2, 8, -8, -1, -3]",30,90,Not-violated
4770,"[-1, 3, -16, -20]","[-1, 3, -20, -16]",-4,-12,Violated
4771,"[-15, 6, -17, 10]","[10, -15, 6, -17]",9,27,Violated
4772,"[7, 9, -13, 16, 4, 2, -8, -17, 2, -6, -15, -3, 9]","[7, 2, 2, 4, 9, -6, -3, -8, -13, 9, -15, -17, 16]",21,63,Violated
4773,"[-3, 12, 19, -16, 16, -20, -20, 8, 0]","[-16, -20, 12, -3, 8, -20, 19, 0, 16]",-36,-108,Violated
4774,"[-9, -15, 6, -15, -2, -15, -13, -20, -14, -14, 14, -14]","[-20, 6, -9, -14, -13, -14, -2, -15, 14, -14, -15, -15]",23,69,Not-violated
4775,"[14, 13, 5, 8, 16, 7, -6]","[8, 14, 13, 7, -6, 5, 16]",-27,-81,Violated
4776,"[5, -6, 0, -7, 4, -4, 13]","[0, -4, 13, 5, 4, -7, -6]",26,78,Not-violated
4777,"[-4, -4, -2, -4, 4]","[-2, -4, -4, -4, 4]",-17,-51,Violated
4778,"[11, 0, 8, -11, -13, -18]","[-18, 0, -13, 11, 8, -11]",-36,-108,Not-violated
4779,"[12, 8, -9, -4, -1]","[8, -4, -1, -9, 12]",-11,-33,Violated
4780,"[-3, 16, -19, 15, 18, -3]","[-3, 16, 18, -19, -3, 15]",-5,-15,Not-violated
4781,"[-11, -4, 15, -2, -18, 14, 3, -9, 0, 6, 17]","[14, -2, -18, 15, -4, -11, 6, 3, 0, 17, -9]",-11,-33,Not-violated
4782,"[2, 10, 2, 9, 10, -6]","[10, 2, 9, 2, 10, -6]",20,60,Not-violated
4783,"[-7, 18, -15, 16, 2, 17, -8, 5]","[5, -7, 17, -15, 16, 18, -8, 2]",29,87,Not-violated
4784,"[18, 8, 18, 13]","[8, 18, 18, 13]",39,117,Not-violated
4785,"[10, 18, -19, 14, -17, -16, -1]","[18, -17, -16, -19, -1, 10, 14]",-50,-150,Violated
4786,"[-19, -6, -20, -10, 17, -5, 8]","[8, -20, -19, -5, 17, -10, -6]",-26,-78,Not-violated
4787,"[-19, 14, 4, 14, 9]","[14, 14, -19, 4, 9]",-12,-36,Not-violated
4788,"[2, 17, -15, 3, 11, 3, 5, -5, 1, -10, -9]","[-9, 5, -5, -10, 17, 3, 1, 11, 2, 3, -15]",11,33,Not-violated
4789,"[2, -20, -15, -11]","[-11, -15, 2, -20]",-18,-54,Violated
4790,"[2, 11, 2, -15, -10, -11, -19, -10, -1]","[2, -1, 11, 2, -11, -10, -15, -19, -10]",13,39,Not-violated
4791,"[-1, -20, 6, 12, 2, -6, -19, -14, -17, -13, 17, 2, 15, -17]","[-14, 15, 2, -6, -17, 2, -17, -1, -20, 6, -19, 17, -13, 12]",8,24,Violated
4792,"[-14, -17, -11, 18, 15, -4, -5, -10, -18, -13, 7, 16, -4, -17]","[-18, 15, -14, 16, -10, -13, 18, -17, 7, -5, -17, -4, -4, -11]",-54,-162,Violated
4793,"[-16, 5, 13, -5, -12, -12]","[-12, 5, -12, -5, -16, 13]",-74,-222,Violated
4794,"[18, 6, 10, -15, 5, 14, -3, -17, -9, -6, -7, -1, -17, 17]","[10, 5, -7, -3, -9, 6, -6, -1, -17, 14, -17, 18, 17, -15]",51,153,Not-violated
4795,"[-5, -18, 1, 6, 15, 16, -6, -13, 0, -18, -8, 9]","[0, -18, 1, 16, -8, -13, -18, 15, -5, -6, 6, 9]",-22,-66,Not-violated
4796,"[-4, 17, 19, -2, 6, -15, 1]","[17, 19, 1, -2, 6, -4, -15]",-4,-12,Violated
4797,"[4, 7, 18, 7]","[7, 4, 7, 18]",-26,-78,Violated
4798,"[-6, -19, -2, 12, -8, -1, -20]","[-1, 12, -19, -2, -20, -8, -6]",-41,-123,Not-violated
4799,"[17, 17, -16, -4, 9, 5, -5]","[17, -5, -16, 9, -4, 5, 17]",12,36,Violated
4800,"[6, 15, -8, 8, -13, 17]","[15, 17, -8, 8, -13, 6]",36,108,Not-violated
4801,"[7, -19, 6, 6, -5, -3, 17, 2, -5, -4, -5, -15, 5]","[6, -5, -5, 2, -15, -19, -5, 7, 17, -3, -4, 6, 5]",-12,-36,Violated
4802,"[1, 15, -1, -14, -9, 19]","[1, 15, -9, 19, -1, -14]",-55,-165,Violated
4803,"[-17, -17, 14, 17, -7, -13, 1, 1, 16, -8]","[-8, -13, -17, 14, -7, 1, 17, -17, 1, 16]",13,39,Not-violated
4804,"[-15, 16, 0, 11, 12, -12, 6, -8, 11, -12, -13, -16, 3]","[-8, 3, -15, 11, 12, 0, -13, 11, -12, -12, -16, 16, 6]",-85,-255,Violated
4805,"[-19, 13, 10, -14, -17, -14, -13]","[10, -19, -14, -14, -17, -13, 13]",-35,-105,Violated
4806,"[-9, -11, 12, 14, 9, -4, -8]","[-11, -8, 12, -9, 9, 14, -4]",-46,-138,Violated
4807,"[-10, 4, 17, -20, 13, -15, -16, 5]","[-15, -16, 5, 17, 13, -10, -20, 4]",-18,-54,Violated
4808,"[4, -6, -13]","[-13, 4, -6]",19,57,Violated
4809,"[7, -2, -11, -6, 12, 13, 11, -12, -13, -1]","[-11, 12, 13, -12, -13, -6, 11, -1, 7, -2]",11,33,Not-violated
4810,"[-20, 5, -18, 19, -16, -5, -16, 18, -12, 18]","[-20, -16, 19, 18, -16, -18, 18, 5, -5, -12]",1,3,Not-violated
4811,"[18, 3, 4, 12, 4, 14, -7, 10, 1, -19, -2]","[3, 14, -2, -7, 12, -19, 4, 10, 1, 4, 18]",-48,-144,Violated
4812,"[-11, 2, -13, -2, 1, -17, 9, -15, 11, -12, -18, 12, -9, 2]","[1, 12, -18, -9, 2, -15, -17, 9, -13, -12, -11, 11, 2, -2]",28,84,Not-violated
4813,"[-4, 8, -13, 7, -7, 15, 3, -2]","[15, -13, -2, 7, 8, -7, -4, 3]",-14,-42,Violated
4814,"[10, -20, 8, -18, 8]","[-20, -18, 10, 8, 8]",13,39,Not-violated
4815,"[-7, 1, 5, 0, 9, 19, -5, 15, -16]","[-5, 19, 1, 9, 15, -7, 5, 0, -16]",26,78,Violated
4816,"[4, -11, 10, 17, -4, -10, -1, 18, 13, -11, 10, 1]","[-11, 18, -11, 17, 1, -1, 4, 10, -10, 10, -4, 13]",-68,-204,Violated
4817,"[-16, -19, 19, -10, 18, 6, 7, -1, 6]","[-19, 6, 18, -1, 19, 7, -10, -16, 6]",32,96,Not-violated
4818,"[14, -5, 19, 19, -2, -5, -1, 5, 0, 2]","[19, -5, 14, 0, -2, -5, 2, 19, -1, 5]",-23,-69,Violated
4819,"[12, -13, 11, 17, -18, 16, -4, 19, 17, 11, 4]","[-4, 19, -13, 4, 11, 11, -18, 17, 16, 17, 12]",21,63,Violated
4820,"[-19, 0, 2, -4, 15, 10, 6, 17, -14, -20, -1, -3, -18]","[0, -14, -18, 17, -19, 15, -3, 2, 6, -1, 10, -4, -20]",6,18,Violated
4821,"[16, 10, -19, -17, -15, -6, 13, 1, 3, 15, -13, -15, -3]","[-13, -15, -3, -6, -17, 13, -15, 3, 16, 10, 1, -19, 15]",11,33,Not-violated
