input_a,input_b,output
"[[0.062, 0.376], [0.706, 0.239]]","[[0.271, 0.015], [0.28, 0.05]]","[[0.333, 0.391], [0.986, 0.289]]"
"[[0.472, 0.308], [0.636, 0.141]]","[[0.436, 0.236], [0.761, 0.488]]","[[0.9079999999999999, 0.544], [1.397, 0.629]]"
"[[0.948, 0.278], [0.097, 0.832]]","[[0.05, 0.632], [0.7, 0.038]]","[[0.998, 0.91], [0.7969999999999999, 0.87]]"
"[[0.297, 0.453], [0.233, 0.043]]","[[0.954, 0.697], [0.63, 0.641]]","[[1.251, 1.15], [0.863, 0.684]]"
"[[0.402, 0.983], [0.41, 0.368]]","[[0.246, 0.514], [0.354, 0.053]]","[[0.648, 1.4969999999999999], [0.764, 0.421]]"
"[[0.061, 0.281], [0.35, 0.826]]","[[0.566, 0.674], [0.88, 0.915]]","[[0.627, 0.9550000000000001], [1.23, 1.741]]"
"[[0.036, 0.382], [0.464, 0.665]]","[[0.267, 0.396], [0.326, 0.76]]","[[0.303, 0.778], [0.79, 1.425]]"
"[[0.886, 0.186], [0.751, 0.989]]","[[0.922, 0.672], [0.016, 0.66]]","[[1.808, 0.8580000000000001], [0.767, 1.649]]"
"[[0.984, 0.08], [0.72, 0.669]]","[[0.507, 0.218], [0.302, 0.373]]","[[1.491, 0.298], [1.022, 1.042]]"
"[[0.629, 0.132], [0.733, 0.358]]","[[0.493, 0.971], [0.273, 0.724]]","[[1.1219999999999999, 1.103], [1.006, 1.0819999999999999]]"
"[[0.675, 0.182], [0.475, 0.927]]","[[0.011, 0.502], [0.281, 0.353]]","[[0.686, 0.6839999999999999], [0.756, 1.28]]"
"[[0.776, 0.218], [0.814, 0.946]]","[[0.317, 0.615], [0.612, 0.148]]","[[1.093, 0.833], [1.426, 1.0939999999999999]]"
"[[0.266, 0.288], [0.256, 0.834]]","[[0.652, 0.145], [0.523, 0.392]]","[[0.918, 0.43299999999999994], [0.779, 1.226]]"
"[[0.966, 0.045], [0.685, 0.428]]","[[0.865, 0.614], [0.979, 0.604]]","[[1.831, 0.659], [1.6640000000000001, 1.032]]"
"[[0.378, 0.385], [0.653, 0.969]]","[[0.1, 0.157], [0.578, 0.233]]","[[0.478, 0.542], [1.2309999999999999, 1.202]]"
"[[0.43, 0.001], [0.615, 0.139]]","[[0.126, 0.51], [0.82, 0.514]]","[[0.556, 0.511], [1.435, 0.653]]"
"[[0.671, 0.571], [0.44, 0.406]]","[[0.127, 0.123], [0.996, 0.577]]","[[0.798, 0.694], [1.436, 0.983]]"
"[[0.104, 0.193], [0.209, 0.494]]","[[0.352, 0.743], [0.785, 0.598]]","[[0.45599999999999996, 0.9359999999999999], [0.994, 1.092]]"
"[[0.213, 0.892], [0.392, 0.915]]","[[0.519, 0.199], [0.741, 0.178]]","[[0.732, 1.091], [1.133, 1.093]]"
"[[0.954, 0.738], [0.147, 0.994]]","[[0.569, 0.71], [0.286, 0.775]]","[[1.523, 1.448], [0.43299999999999994, 1.7690000000000001]]"
"[[0.776, 0.881], [0.56, 0.154]]","[[0.793, 0.506], [0.22, 0.612]]","[[1.569, 1.387], [0.78, 0.766]]"
"[[0.18, 0.643], [0.351, 0.435]]","[[0.961, 0.11], [0.309, 0.472]]","[[1.141, 0.753], [0.6599999999999999, 0.907]]"
"[[0.757, 0.673], [0.212, 0.095]]","[[0.366, 0.483], [0.896, 0.269]]","[[1.123, 1.1560000000000001], [1.108, 0.364]]"
"[[0.022, 0.95], [0.038, 0.112]]","[[0.393, 0.757], [0.753, 0.637]]","[[0.41500000000000004, 1.7069999999999999], [0.791, 0.749]]"
"[[0.816, 0.035], [0.689, 0.103]]","[[0.946, 0.227], [0.691, 1.0]]","[[1.762, 0.262], [1.38, 1.103]]"
"[[0.74, 0.94], [0.584, 0.868]]","[[0.656, 0.268], [0.941, 0.655]]","[[1.396, 1.208], [1.525, 1.5230000000000001]]"
"[[0.995, 0.922], [0.45, 0.654]]","[[0.926, 0.29], [0.635, 0.676]]","[[1.921, 1.212], [1.085, 1.33]]"
"[[0.819, 0.856], [0.056, 0.501]]","[[0.894, 0.425], [0.634, 0.528]]","[[1.713, 1.281], [0.6900000000000001, 1.029]]"
"[[0.176, 0.485], [0.132, 0.801]]","[[0.763, 0.866], [0.831, 0.547]]","[[0.9390000000000001, 1.351], [0.963, 1.348]]"
"[[0.883, 0.652], [0.311, 0.327]]","[[0.937, 0.897], [0.899, 0.703]]","[[1.82, 1.549], [1.21, 1.03]]"
"[[0.829, 0.43], [0.102, 0.487]]","[[0.723, 0.584], [0.128, 0.659]]","[[1.552, 1.014], [0.22999999999999998, 1.146]]"
"[[0.328, 0.669], [0.999, 0.478]]","[[0.878, 0.938], [0.503, 0.757]]","[[1.206, 1.607], [1.502, 1.2349999999999999]]"
"[[0.037, 0.004], [0.998, 0.243]]","[[0.105, 0.08], [0.028, 0.209]]","[[0.142, 0.084], [1.026, 0.45199999999999996]]"
"[[0.127, 0.508], [0.788, 0.639]]","[[0.107, 0.036], [0.74, 0.62]]","[[0.23399999999999999, 0.544], [1.528, 1.259]]"
"[[0.847, 0.609], [0.82, 0.589]]","[[0.796, 0.273], [0.526, 0.213]]","[[1.643, 0.882], [1.346, 0.8019999999999999]]"
"[[0.617, 0.64], [0.698, 0.616]]","[[0.724, 0.232], [0.462, 0.079]]","[[1.341, 0.872], [1.16, 0.695]]"
"[[0.204, 0.593], [0.981, 0.537]]","[[0.244, 0.698], [0.568, 0.96]]","[[0.44799999999999995, 1.291], [1.549, 1.4969999999999999]]"
"[[0.433, 0.808], [0.859, 0.322]]","[[0.682, 0.593], [0.716, 0.126]]","[[1.115, 1.401], [1.575, 0.448]]"
"[[0.947, 0.302], [0.36, 0.855]]","[[0.615, 0.242], [0.44, 0.921]]","[[1.5619999999999998, 0.544], [0.8, 1.776]]"
"[[0.692, 0.754], [0.324, 0.033]]","[[0.192, 0.231], [0.877, 0.798]]","[[0.8839999999999999, 0.985], [1.201, 0.8310000000000001]]"
"[[0.128, 0.342], [0.508, 0.205]]","[[0.072, 0.946], [0.629, 0.113]]","[[0.2, 1.288], [1.137, 0.318]]"
"[[0.519, 0.225], [0.935, 0.076]]","[[0.081, 0.817], [0.353, 0.627]]","[[0.6, 1.042], [1.288, 0.703]]"
"[[0.777, 0.073], [0.7, 0.702]]","[[0.001, 0.092], [0.642, 0.1]]","[[0.778, 0.16499999999999998], [1.342, 0.8019999999999999]]"
"[[0.64, 0.862], [0.629, 0.389]]","[[0.394, 0.811], [0.983, 0.685]]","[[1.034, 1.673], [1.612, 1.074]]"
"[[0.436, 0.944], [0.536, 0.099]]","[[0.372, 0.811], [0.623, 0.826]]","[[0.808, 1.755], [1.159, 0.9249999999999999]]"
"[[0.567, 0.56], [0.944, 0.714]]","[[0.786, 0.832], [0.606, 0.427]]","[[1.353, 1.392], [1.5499999999999998, 1.141]]"
"[[0.899, 0.215], [0.33, 0.458]]","[[0.544, 0.114], [0.692, 0.958]]","[[1.443, 0.329], [1.022, 1.416]]"
"[[0.41, 0.659], [0.713, 0.675]]","[[0.076, 0.656], [0.82, 0.504]]","[[0.486, 1.315], [1.533, 1.179]]"
"[[0.37, 0.308], [0.907, 0.263]]","[[0.641, 0.661], [0.256, 0.621]]","[[1.0110000000000001, 0.9690000000000001], [1.163, 0.884]]"
"[[0.568, 0.421], [0.765, 0.681]]","[[0.322, 0.807], [0.616, 0.785]]","[[0.8899999999999999, 1.228], [1.381, 1.4660000000000002]]"
"[[0.805, 0.389], [0.67, 0.097]]","[[0.518, 0.368], [0.795, 0.968]]","[[1.323, 0.757], [1.465, 1.065]]"
"[[0.95, 0.657], [0.753, 0.298]]","[[0.117, 0.609], [0.724, 0.875]]","[[1.067, 1.266], [1.4769999999999999, 1.173]]"
"[[0.562, 0.692], [0.478, 0.554]]","[[0.701, 0.794], [0.164, 0.459]]","[[1.263, 1.486], [0.642, 1.0130000000000001]]"
"[[0.003, 0.893], [0.246, 0.299]]","[[0.437, 0.657], [0.077, 0.637]]","[[0.44, 1.55], [0.323, 0.9359999999999999]]"
"[[0.322, 0.4], [0.271, 0.894]]","[[0.769, 0.54], [0.153, 0.094]]","[[1.091, 0.9400000000000001], [0.42400000000000004, 0.988]]"
"[[0.362, 0.193], [0.093, 0.81]]","[[0.887, 0.652], [0.243, 0.63]]","[[1.249, 0.845], [0.33599999999999997, 1.44]]"
"[[0.106, 0.314], [0.833, 0.675]]","[[0.44, 0.215], [0.625, 0.82]]","[[0.546, 0.529], [1.458, 1.495]]"
"[[0.075, 0.068], [0.664, 0.822]]","[[0.706, 0.586], [0.095, 0.757]]","[[0.7809999999999999, 0.6539999999999999], [0.759, 1.579]]"
"[[0.892, 0.385], [0.869, 0.562]]","[[0.503, 0.318], [0.172, 0.56]]","[[1.395, 0.7030000000000001], [1.041, 1.122]]"
"[[0.504, 0.466], [0.717, 0.166]]","[[0.939, 0.459], [0.28, 0.706]]","[[1.443, 0.925], [0.997, 0.872]]"
"[[0.138, 0.892], [0.545, 0.949]]","[[0.404, 0.317], [0.983, 0.167]]","[[0.542, 1.209], [1.528, 1.1159999999999999]]"
"[[0.323, 0.559], [0.689, 0.506]]","[[0.051, 0.696], [0.842, 0.988]]","[[0.374, 1.255], [1.531, 1.494]]"
"[[0.551, 0.156], [0.677, 0.038]]","[[0.2, 0.614], [0.524, 0.061]]","[[0.7510000000000001, 0.77], [1.201, 0.099]]"
"[[0.714, 0.132], [0.021, 0.888]]","[[0.651, 0.991], [0.615, 0.219]]","[[1.365, 1.123], [0.636, 1.107]]"
"[[0.45, 0.147], [0.521, 0.032]]","[[0.339, 0.773], [0.768, 0.979]]","[[0.789, 0.92], [1.2890000000000001, 1.011]]"
"[[0.74, 0.067], [0.505, 0.281]]","[[0.979, 0.346], [0.664, 0.121]]","[[1.7189999999999999, 0.413], [1.169, 0.402]]"
"[[0.231, 0.768], [0.372, 0.015]]","[[0.483, 0.558], [0.71, 0.802]]","[[0.714, 1.326], [1.0819999999999999, 0.8170000000000001]]"
"[[0.71, 0.921], [0.266, 0.809]]","[[0.642, 0.446], [0.188, 0.17]]","[[1.3519999999999999, 1.367], [0.454, 0.9790000000000001]]"
"[[0.274, 0.198], [0.093, 0.789]]","[[0.178, 0.911], [0.644, 0.262]]","[[0.452, 1.109], [0.737, 1.0510000000000002]]"
"[[0.874, 0.443], [0.4, 0.559]]","[[0.297, 0.188], [0.962, 0.519]]","[[1.171, 0.631], [1.362, 1.078]]"
"[[0.003, 0.089], [0.088, 0.349]]","[[0.124, 0.939], [0.805, 0.173]]","[[0.127, 1.028], [0.893, 0.522]]"
"[[0.975, 0.111], [0.946, 0.273]]","[[0.98, 0.389], [0.457, 0.859]]","[[1.955, 0.5], [1.403, 1.1320000000000001]]"
"[[0.794, 0.7], [0.042, 0.824]]","[[0.668, 0.818], [0.928, 0.6]]","[[1.4620000000000002, 1.5179999999999998], [0.9700000000000001, 1.424]]"
"[[0.935, 0.034], [0.337, 0.524]]","[[0.961, 0.815], [0.059, 0.788]]","[[1.896, 0.849], [0.396, 1.312]]"
